2024-04-08 20:16:39 configure libnamespace-clean-perl:all 0.27-2 <none>
2024-04-08 20:16:39 status unpacked libnamespace-clean-perl:all 0.27-2
2024-04-08 20:16:39 status half-configured libnamespace-clean-perl:all 0.27-2
2024-04-08 20:16:39 status installed libnamespace-clean-perl:all 0.27-2
2024-04-08 20:16:39 configure libnamespace-autoclean-perl:all 0.29-2 <none>
2024-04-08 20:16:39 status unpacked libnamespace-autoclean-perl:all 0.29-2
2024-04-08 20:16:39 status half-configured libnamespace-autoclean-perl:all 0.29-2
2024-04-08 20:16:39 status installed libnamespace-autoclean-perl:all 0.29-2
2024-04-08 20:16:40 configure libdatetime-locale-perl:all 1:1.37-1 <none>
2024-04-08 20:16:40 status unpacked libdatetime-locale-perl:all 1:1.37-1
2024-04-08 20:16:40 status half-configured libdatetime-locale-perl:all 1:1.37-1
2024-04-08 20:16:40 status installed libdatetime-locale-perl:all 1:1.37-1
2024-04-08 20:16:40 configure libdatetime-timezone-perl:all 1:2.60-1+2024a <none>
2024-04-08 20:16:40 status unpacked libdatetime-timezone-perl:all 1:2.60-1+2024a
2024-04-08 20:16:40 status half-configured libdatetime-timezone-perl:all 1:2.60-1+2024a
2024-04-08 20:16:40 status installed libdatetime-timezone-perl:all 1:2.60-1+2024a
2024-04-08 20:16:40 configure libdatetime-perl:amd64 2:1.59-1 <none>
2024-04-08 20:16:40 status unpacked libdatetime-perl:amd64 2:1.59-1
2024-04-08 20:16:40 status half-configured libdatetime-perl:amd64 2:1.59-1
2024-04-08 20:16:40 status installed libdatetime-perl:amd64 2:1.59-1
2024-04-08 20:16:40 trigproc libc-bin:amd64 2.36-9+deb12u4 <none>
2024-04-08 20:16:40 status half-configured libc-bin:amd64 2.36-9+deb12u4
2024-04-08 20:16:40 status installed libc-bin:amd64 2.36-9+deb12u4
2024-04-08 20:32:27 startup archives unpack
2024-04-08 20:32:27 install libncursesw6:amd64 <none> 6.4-4
2024-04-08 20:32:27 status triggers-pending libc-bin:amd64 2.36-9+deb12u4
2024-04-08 20:32:27 status half-installed libncursesw6:amd64 6.4-4
2024-04-08 20:32:27 status unpacked libncursesw6:amd64 6.4-4
2024-04-08 20:32:27 install libproc2-0:amd64 <none> 2:4.0.2-3
2024-04-08 20:32:27 status half-installed libproc2-0:amd64 2:4.0.2-3
2024-04-08 20:32:27 status unpacked libproc2-0:amd64 2:4.0.2-3
2024-04-08 20:32:27 install procps:amd64 <none> 2:4.0.2-3
2024-04-08 20:32:27 status half-installed procps:amd64 2:4.0.2-3
2024-04-08 20:32:28 status unpacked procps:amd64 2:4.0.2-3
2024-04-08 20:32:28 install libbsd0:amd64 <none> 0.11.7-2
2024-04-08 20:32:28 status half-installed libbsd0:amd64 0.11.7-2
2024-04-08 20:32:28 status unpacked libbsd0:amd64 0.11.7-2
2024-04-08 20:32:28 install libbrotli1:amd64 <none> 1.0.9-2+b6
2024-04-08 20:32:28 status half-installed libbrotli1:amd64 1.0.9-2+b6
2024-04-08 20:32:28 status unpacked libbrotli1:amd64 1.0.9-2+b6
2024-04-08 20:32:28 install libpng16-16:amd64 <none> 1.6.39-2
2024-04-08 20:32:28 status half-installed libpng16-16:amd64 1.6.39-2
2024-04-08 20:32:28 status unpacked libpng16-16:amd64 1.6.39-2
2024-04-08 20:32:28 install libfreetype6:amd64 <none> 2.12.1+dfsg-5
2024-04-08 20:32:28 status half-installed libfreetype6:amd64 2.12.1+dfsg-5
2024-04-08 20:32:28 status unpacked libfreetype6:amd64 2.12.1+dfsg-5
2024-04-08 20:32:29 install libdrm-common:all <none> 2.4.114-1
2024-04-08 20:32:29 status half-installed libdrm-common:all 2.4.114-1
2024-04-08 20:32:29 status unpacked libdrm-common:all 2.4.114-1
2024-04-08 20:32:29 install libdrm2:amd64 <none> 2.4.114-1+b1
2024-04-08 20:32:29 status half-installed libdrm2:amd64 2.4.114-1+b1
2024-04-08 20:32:29 status unpacked libdrm2:amd64 2.4.114-1+b1
2024-04-08 20:32:29 install libexpat1:amd64 <none> 2.5.0-1
2024-04-08 20:32:29 status half-installed libexpat1:amd64 2.5.0-1
2024-04-08 20:32:29 status unpacked libexpat1:amd64 2.5.0-1
2024-04-08 20:32:29 install libwayland-server0:amd64 <none> 1.21.0-1
2024-04-08 20:32:29 status half-installed libwayland-server0:amd64 1.21.0-1
2024-04-08 20:32:29 status unpacked libwayland-server0:amd64 1.21.0-1
2024-04-08 20:32:30 install libgbm1:amd64 <none> 22.3.6-1+deb12u1
2024-04-08 20:32:30 status half-installed libgbm1:amd64 22.3.6-1+deb12u1
2024-04-08 20:32:30 status unpacked libgbm1:amd64 22.3.6-1+deb12u1
2024-04-08 20:32:30 install libglvnd0:amd64 <none> 1.6.0-1
2024-04-08 20:32:30 status half-installed libglvnd0:amd64 1.6.0-1
2024-04-08 20:32:30 status unpacked libglvnd0:amd64 1.6.0-1
2024-04-08 20:32:30 install libxau6:amd64 <none> 1:1.0.9-1
2024-04-08 20:32:30 status half-installed libxau6:amd64 1:1.0.9-1
2024-04-08 20:32:30 status unpacked libxau6:amd64 1:1.0.9-1
2024-04-08 20:32:30 install libxdmcp6:amd64 <none> 1:1.1.2-3
2024-04-08 20:32:30 status half-installed libxdmcp6:amd64 1:1.1.2-3
2024-04-08 20:32:30 status unpacked libxdmcp6:amd64 1:1.1.2-3
2024-04-08 20:32:30 install libxcb1:amd64 <none> 1.15-1
2024-04-08 20:32:30 status half-installed libxcb1:amd64 1.15-1
2024-04-08 20:32:30 status unpacked libxcb1:amd64 1.15-1
2024-04-08 20:32:31 install libx11-data:all <none> 2:1.8.4-2+deb12u2
2024-04-08 20:32:31 status half-installed libx11-data:all 2:1.8.4-2+deb12u2
2024-04-08 20:32:31 status unpacked libx11-data:all 2:1.8.4-2+deb12u2
2024-04-08 20:32:31 install libx11-6:amd64 <none> 2:1.8.4-2+deb12u2
2024-04-08 20:32:31 status half-installed libx11-6:amd64 2:1.8.4-2+deb12u2
2024-04-08 20:32:31 status unpacked libx11-6:amd64 2:1.8.4-2+deb12u2
2024-04-08 20:32:31 install libglapi-mesa:amd64 <none> 22.3.6-1+deb12u1
